timestamp,mid_price,bid_price,ask_price,inventory,realized_pnl,total_pnl
2025-12-19T12:58:02.664325,984.35,984.21,984.44,1,0.73,1.07
2025-12-19T12:58:03.716233,984.35,984.21,984.44,1,0.73,1.07
2025-12-19T12:58:04.768117,984.2,984.1,984.25,1,0.73,0.92
2025-12-19T12:58:06.048861,984.2,984.1,984.25,1,0.73,0.92
2025-12-19T12:58:07.108497,984.05,983.98,984.07,0,0.79,0.79
2025-12-19T12:58:08.162839,984.05,984.0,984.09,1,0.79,0.84
2025-12-19T12:58:09.215593,984.05,983.98,984.07,1,0.79,0.84
2025-12-19T12:58:10.270492,984.05,983.98,984.07,1,0.79,0.84
2025-12-19T12:58:11.331263,984.2,984.1,984.25,1,0.79,0.99
2025-12-19T12:58:12.390712,984.2,984.11,984.24,2,0.79,1.08
2025-12-19T12:58:13.848953,984.3,984.17,984.34,2,0.79,1.28
2025-12-19T12:58:15.154038,984.25,984.14,984.27,2,0.79,1.18
2025-12-19T12:58:19.357436,984.15,984.05,984.16,2,0.79,0.98
2025-12-19T12:58:20.622100,984.15,984.05,984.16,2,0.79,0.98
2025-12-19T12:58:22.626561,984.15,984.04,984.17,2,0.79,0.98
2025-12-19T12:58:24.049603,984.1,983.94,984.17,1,0.905,0.95
2025-12-19T12:58:25.399378,984.1,983.96,984.19,1,0.905,0.95
2025-12-19T12:58:28.217223,984.1,983.97,984.18,0,1.03,1.03
2025-12-19T12:58:30.043122,984.1,983.98,984.21,0,1.03,1.03
2025-12-19T12:58:34.046266,984.05,983.94,984.15,0,1.03,1.03
2025-12-19T12:58:35.097009,984.05,983.94,984.15,0,1.03,1.03
2025-12-19T12:58:36.207124,984.05,983.95,984.14,0,1.03,1.03
2025-12-19T12:58:43.161589,984.05,983.94,984.15,0,1.03,1.03
2025-12-19T12:58:46.684268,984.65,984.51,984.78,0,1.03,1.03
2025-12-19T12:58:47.748145,984.5,984.39,984.6,-1,1.03,1.13
2025-12-19T12:58:48.805973,984.6,984.48,984.75,-1,1.03,1.03
2025-12-19T12:58:50.199067,984.35,984.32,984.41,-1,1.03,1.28
2025-12-19T12:58:52.118697,984.25,984.23,984.3,0,1.4,1.4
2025-12-19T12:58:54.022295,984.3,984.24,984.35,0,1.4,1.4
2025-12-19T12:58:55.100522,984.15,984.13,984.16,-1,1.4,1.41
2025-12-19T12:58:56.160516,984.45,984.36,984.57,-1,1.4,1.11
2025-12-19T12:58:57.312834,984.25,984.21,984.32,-2,1.4,1.38
2025-12-19T12:58:59.757792,984.5,984.42,984.65,-2,1.4,0.88
2025-12-19T12:59:01.128815,984.5,984.41,984.66,-2,1.4,0.88
2025-12-19T12:59:02.236392,984.35,984.31,984.46,-2,1.4,1.18
2025-12-19T12:59:05.233087,984.35,984.31,984.46,-2,1.4,1.18
2025-12-19T12:59:11.508826,984.25,984.21,984.36,-2,1.4,1.38
2025-12-19T12:59:12.927135,984.3,984.26,984.41,-2,1.4,1.28
2025-12-19T12:59:14.662505,984.3,984.26,984.41,-1,1.38,1.32
2025-12-19T12:59:17.691772,984.35,984.25,984.48,-1,1.38,1.27
2025-12-19T12:59:20.493296,984.25,984.17,984.36,-1,1.38,1.37
2025-12-19T12:59:53.463199,983.95,983.93,984.0,0,1.69,1.69
2025-12-19T12:59:54.530242,983.95,983.89,984.0,0,1.69,1.69
2025-12-19T12:59:55.589644,983.95,983.91,983.98,0,1.69,1.69
2025-12-19T12:59:56.649245,983.95,983.91,983.98,0,1.69,1.69
2025-12-19T12:59:57.712793,983.95,983.91,983.98,0,1.69,1.69
2025-12-19T12:59:58.768645,984.05,983.98,984.11,0,1.69,1.69
2025-12-19T12:59:59.825941,983.95,983.91,983.98,0,1.69,1.69
2025-12-19T13:00:00.893731,983.95,983.91,983.98,-1,1.69,1.72
2025-12-19T13:00:01.957778,983.95,983.92,984.01,0,1.75,1.75
2025-12-19T13:00:03.013608,983.95,983.9,983.99,0,1.75,1.75
2025-12-19T13:00:04.070378,983.95,983.9,983.99,0,1.75,1.75
2025-12-19T13:00:05.136096,983.95,983.9,983.99,0,1.75,1.75
2025-12-19T13:00:06.199724,983.85,983.8,983.89,0,1.75,1.75
2025-12-19T13:00:07.271390,983.85,983.8,983.89,0,1.75,1.75
2025-12-19T13:00:08.336918,983.85,983.8,983.89,0,1.75,1.75
2025-12-19T13:00:09.399437,983.85,983.8,983.89,0,1.75,1.75
2025-12-19T13:00:10.460517,983.85,983.8,983.89,0,1.75,1.75
2025-12-19T13:00:11.517025,983.9,983.85,983.94,0,1.75,1.75
2025-12-19T13:00:12.575490,983.9,983.84,983.95,0,1.75,1.75
2025-12-19T13:00:13.630090,983.9,983.84,983.95,0,1.75,1.75
2025-12-19T13:00:14.688470,983.9,983.84,983.95,-1,1.75,1.8
2025-12-19T13:00:15.747937,983.9,983.86,983.97,-1,1.75,1.8
2025-12-19T13:00:16.805643,983.85,983.82,983.91,-1,1.75,1.85
2025-12-19T13:00:17.877376,983.8,983.78,983.85,-1,1.75,1.9
2025-12-19T13:00:18.936172,983.75,983.74,983.79,-1,1.75,1.95
2025-12-19T13:00:20.001532,983.75,983.74,983.79,-1,1.75,1.95
2025-12-19T13:00:21.061395,983.65,983.63,983.7,0,2.07,2.07
2025-12-19T13:00:22.119925,983.65,983.61,983.68,0,2.07,2.07
2025-12-19T13:00:23.179097,983.65,983.61,983.68,0,2.07,2.07
2025-12-19T13:00:24.237731,983.65,983.62,983.67,0,2.07,2.07
2025-12-19T13:00:25.299757,983.65,983.62,983.67,0,2.07,2.07
2025-12-19T13:00:26.359531,983.8,983.72,983.87,0,2.07,2.07
2025-12-19T13:00:27.419566,983.65,983.63,983.66,0,2.07,2.07
2025-12-19T13:00:28.478613,983.75,983.7,983.79,0,2.07,2.07
